orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Aspect
λέγεται,λέγεται,λέγω,λέγεται,ται,λ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,λέγεται,(),False,xx́xxxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Mid,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,λέγεται,(),False,xx̀,False,False,False,False,,,,,,,,,
κἀκεῖνο,κἀκεῖνο,κἀκεῖνος,κἀκεῖνο,͂νο,κ,-20.0,PRON,p-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,λέγεται,(),False,xx̓xxx͂xx,False,False,False,False,,Sing,,,,,Nom,Neut,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,διασύστασιν,(),False,xxx̀x,False,False,False,False,,,,,,,,,
διασύστασιν,διασύστασιν,διασύστασις,διασύστασιν,σιν,δ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,λέγεται,(),False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Acc,Fem,
ἑβδομάδος,ἑβδομάδος,ἑβδομάς,ἑβδομάδος,δος,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,διασύστασιν,(),False,x̔xxxx́xxx,False,False,False,False,,Sing,,,,,Gen,Fem,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,advmod,0.0,106,(),False,x̔x,False,False,False,False,,,,,,,,,
106,106,106,106,106,1,-20.0,NUM,d--------,,case,0.0,ἐχούσης,(),False,ddd,False,False,False,False,,,,,,,,,
θαυμαστὴν,θαυμαστὴν,θαυμαστὴν,θαυμαστὴν,ὴν,θ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ἐχούσης,(),False,xxxx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,
ἐχούσης,ἐχούσης,ἐχούσης,ἐχούσης,σης,ε,-20.0,VERB,v-sppafg-,Case=Gen|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,nmod,0.0,ἑβδομάδος,(),False,x̓xxx́xxx,False,False,False,False,,Sing,,Pres,Part,Act,Gen,Fem,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,φύσει,(),False,x̓x,False,False,False,False,,,,,,,,,
τῇ,τῇ,τῇ,τῇ,ῇ,τ,-20.0,DET,l-s---fd-,Case=Dat|Gender=Fem|Number=Sing,det,0.0,φύσει,(),False,xx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Fem,
φύσει,φύσει,φύσις,φύσει,σει,φ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,nmod,0.0,τάξιν,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Dat,Fem,
τάξιν,τάξιν,τάξις,τάξιν,ξιν,τ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐχούσης,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Acc,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐπεὶ,(),False,",",False,True,False,False,,,,,,,,,
ἐπεὶ,ἐπεὶ,ἐπεὶ,ἐπεὶ,εὶ,ε,-20.0,CCONJ,c--------,,mark,0.0,συνέστηκε,(),False,x̓xxx̀,False,False,False,False,,,,,,,,,
συνέστηκε,συνέστηκε,συνέστηκε,συνέστηκε,ηκε,σ,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,λέγεται,(),False,xxxx́xxxx,False,False,False,False,Ind,Sing,3,Past,Fin,Act,,,Perf
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,τριῶν,(),False,x̓x,False,False,False,False,,,,,,,,,
τριῶν,τριῶν,τριῶν,τριῶν,ῶν,τ,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,xcomp,0.0,συνέστηκε,"(τεττάρων,)",False,xxxx͂x,False,False,False,False,,Plur,,,,,Gen,Masc,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,τριῶν,(),False,xxx̀,False,False,False,False,,,,,,,,,
τεττάρων,τεττάρων,τεσσάρων,τεττάρων,ρων,τ,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,conj,0.0,τριῶν,"(τριῶν,)",False,xxxx́xxx,False,False,False,False,,Plur,,,,,Gen,Masc,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,λέγεται,(),False,·,False,True,False,False,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,τετράγωνον,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Masc,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,εὑρήσει,(),False,xx̀x,False,False,False,False,,,,,,,,,
τρίτον,τρίτον,τρίτος,τρίτον,τον,τ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,xcomp,0.0,εὑρήσει,(),False,xxx́xxx,False,False,False,False,,Sing,,,,,Acc,Masc,
ἀπὸ,ἀπὸ,ἀπὸ,ἀπὸ,πὸ,α,-20.0,ADP,r--------,,case,0.0,μονάδος,(),False,x̓xx̀,False,False,False,False,,,,,,,,,
μονάδος,μονάδος,μονάς,μονάδος,δος,μ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,εὑρήσει,(),False,xxxx́xxx,False,False,False,False,,Sing,,,,,Gen,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,μονάδος,(),False,",",False,True,False,False,,,,,,,,,
εἰ,εἰ,εἰ,εἰ,εἰ,ε,-20.0,SCONJ,c--------,,mark,0.0,διπλασιάζοι,(),False,xx̓,False,False,False,False,,,,,,,,,
